Country Name,Country Code,"Population, total",Population growth (annual %),Surface area (sq. km),Poverty headcount ratio at national poverty lines (% of population),"GNI, Atlas method (current US$)","GNI per capita, Atlas method (current US$)","GNI, PPP (current international $)","GNI per capita, PPP (current international $)",Income share held by lowest 20%,"Life expectancy at birth, total (years)","Fertility rate, total (births per woman)","Adolescent fertility rate (births per 1,000 women ages 15-19)","Contraceptive prevalence, any method (% of married women ages 15-49)",Births attended by skilled health staff (% of total),"Mortality rate, under-5 (per 1,000 live births)","Prevalence of underweight, weight for age (% of children under 5)","Immunization, measles (% of children ages 12-23 months)","Primary completion rate, total (% of relevant age group)","School enrollment, secondary (% gross)","School enrollment, primary and secondary (gross), gender parity index (GPI)","Prevalence of HIV, total (% of population ages 15-49)",Forest area (sq. km),"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",Energy use (kg of oil equivalent per capita),CO2 emissions (metric tons per capita),Electric power consumption (kWh per capita),GDP (current US$),GDP growth (annual %),"Inflation, GDP deflator (annual %)","Agriculture, forestry, and fishing, value added (% of GDP)","Industry (including construction), value added (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Gross capital formation (% of GDP),"Revenue, excluding grants (% of GDP)",Start-up procedures to register a business (number),Market capitalization of listed domestic companies (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),High-technology exports (% of manufactured exports),Merchandise trade (% of GDP),Net barter terms of trade index (2015 = 100),"External debt stocks, total (DOD, current US$)",Total debt service (% of GNI),Net migration,"Personal remittances, paid (current US$)","Foreign direct investment, net inflows (BoP, current US$)",Net ODA received per capita (current US$),GDP per capita (current US$),"Foreign direct investment, net (BoP, current US$)","Inflation, consumer prices (annual %)"
Qatar,QAT,2414573,8.651162054,11490,NA,1.88423E+11,78040,2.35125E+11,97380,NA,80.064,1.864,10.735,NA,99.9,7.7,NA,99,94.36871338,101.9468307,NA,0.1,0,646.9598223,NA,35.29042195,NA,1.6174E+11,4.753345724,-25.1298075,0.161318389,57.4407932,57.06147777,36.64612641,37.06717623,NA,9,88.13929712,NA,154.912235,1.101173545,68.36962432,100,NA,NA,178133,12192032967,1070879121,NA,66984.9102,2952472527,1.814077239
Romania,ROU,19815616,-0.470052228,238400,25.3,1.90389E+11,9610,4.23969E+11,21400,5.1,74.91219512,1.62,37.154,NA,94.3,9.2,NA,86,92.82861328,91.26719666,0.994530022,0.1,69009.6,27.51490843,NA,3.699829468,NA,1.77884E+11,3.16050387,3.264754274,4.425960741,30.81202329,41.34948374,42.17167904,25.52169439,32.84792678,6,10.42202907,1.450718244,116.1454247,9.414147741,73.31692888,100,96449761851,13.46782513,-49612,514289660.2,4317731472,NA,8976.954489,-3287453782,-0.594156437
Russian Federation,RUS,144640716,0.279352078,17098250,13.4,1.72523E+12,11740,3.42861E+12,23330,6.9,71.18341463,1.777,24.819,NA,99.7,8.3,NA,98,98.2166214,98.98977661,0.988810003,NA,8149304.6,21.83667813,NA,11.0104502,NA,1.36348E+12,-1.972719226,7.249735907,3.873104487,29.79405999,28.70338944,20.65595987,22.14872532,24.47204767,5,28.84069665,4.871514747,156.7665611,15.95212486,39.19655181,100,4.92191E+11,7.84664976,384942,19688840000,6852970000,NA,9277.713867,15232100000,15.53440505
Rwanda,RWA,11642959,2.385955685,26340,NA,8556338370,730,20336103781,1750,NA,65.298,4.081,39.296,53.2,90.7,47.7,9.6,96,60.21353912,37.44496918,1.026110053,3.2,2700,17.07001179,NA,0.092797716,NA,8543759089,8.856864687,0.485911238,23.98101428,17.4466738,13.23179477,31.97019271,24.24098504,18.94287056,7,NA,1.213694733,75.23533322,15.32509175,35.86243442,100,3451961693,2.203238592,-14477,101923739.5,162083821,93.5432303,733.8133793,-158630539.6,2.528502842
Samoa,WSM,203571,0.895083543,2840,NA,800555759.3,3930,1123777862,5520,NA,72.515,4.357,48.438,NA,NA,18.5,NA,75,103.4140015,84.08760071,1.048089981,NA,1640.7,NA,NA,1.141125209,NA,824150498.7,3.850361817,3.964666396,8.323953649,14.5012807,27.14094673,47.49340828,35.8616376,28.5849211,4,NA,NA,59.20145797,0.814942077,52.17493658,100,466304621,2.900860109,-3137,15747451.09,26867532.32,460.3799226,4048.467113,-23162686.32,0.724470135
San Marino,SMR,33570,0.540630657,60,NA,NA,NA,NA,NA,NA,NA,NA,3.681,NA,NA,2,NA,84,NA,95.33100128,NA,NA,10,NA,NA,NA,NA,1419400404,2.291505561,-0.74270025,0.02005411,32.02416615,174.452681,146.9113325,12.08620405,43.04932868,8,NA,NA,109.0974084,NA,NA,NA,NA,NA,317,NA,NA,NA,42281.81125,NA,0.145686073
Sao Tome and Principe,STP,201124,1.819823892,960,NA,279487111.9,1390,643279379,3200,NA,67.249,4.387,95.992,NA,NA,23.1,NA,93,88.8219986,82.37638092,1.016350031,0.7,550,6.594609377,NA,0.61454625,NA,259999643,1.539692169,4.503709564,14.13486907,11.67945916,NA,NA,NA,NA,6,NA,NA,91.96863626,46.95713857,58.84623464,100,237958644.5,1.051529515,-1800,449656.2005,27924059.14,243.6307949,1292.733055,-25269253.02,5.24587835
Saudi Arabia,SAU,32749848,1.924622137,2149690,NA,7.7049E+11,23530,1.60207E+12,48920,NA,76.918,2.637,12.657,NA,98,9.1,5.8,98,NA,103.2760086,1.003550053,0.1,9770,29.39815864,NA,17.25779307,NA,6.69484E+11,4.509059063,-16.43694691,2.772920529,44.63949564,32.5639318,36.93995697,34.22351772,24.40461633,14,62.89319869,13.32567248,161.21011,0.787293724,56.49512899,100,NA,NA,60337,38787368000,3970644085,NA,20442.36256,1419284249,1.206073222
Senegal,SEN,14356181,2.72463609,196710,NA,19152231811,1330,42560017612,2960,NA,66.879,4.781,73.748,23.3,53.2,50.9,16.1,80,59.00497818,51.2827301,1.063074112,0.4,82681.6,7.277142855,NA,0.646794576,NA,17774766696,6.367043651,1.06978462,14.28257673,23.59660851,22.6771945,35.43314317,25.83330875,19.19785289,4,NA,1.209099171,104.2023505,3.749574997,46.17219534,100,10478611828,5.778996119,-31006,272324110.9,409166125.8,60.55928275,1238.1264,-377802064.4,0.135211934
Serbia,SRB,7095383,-0.494772574,88360,25.9,42306818532,5960,1.00984E+11,14230,4.4,75.28780488,1.46,17.501,NA,NA,6.3,NA,86,101.9165726,97.15955353,1.008820057,0.1,27195.3,8.457229629,NA,6.399950503,NA,39655949731,1.806059265,1.87289248,6.713852384,25.7972639,45.1772418,52.21852485,18.6810264,39.0083629,6,NA,1.826086336,129.3835881,NA,78.80784652,100,30260552577,11.06785877,7368,244953320.1,2343139736,44.0399075,5588.979444,-1998858560,1.39235822
Seychelles,SYC,93419,2.229795053,460,NA,1378250586,14750,2238093887,23960,NA,74.29512195,2.31,56.212,NA,NA,14.6,NA,98,104.1184998,75.85923767,1.049280047,NA,337,126.8287013,NA,5.350089382,NA,1432403352,8.914008875,-1.003186419,2.053074466,14.20303272,90.08462826,97.39038421,26.87951537,32.6551676,9,NA,1.278346001,149.3792825,8.033459573,98.15670969,100,NA,NA,245,74213584.28,105893597.2,72.57624477,15333.10517,-192959276.4,4.041944107
Sierra Leone,SLE,7314773,2.408687161,72300,NA,4025405680,550,11222500535,1530,NA,57.189,4.548,124.353,NA,NA,140.5,NA,78,59.05435181,38.51055908,0.979070008,1.5,26335.3,20.03783861,NA,0.148261607,NA,4252029354,-20.49107411,19.64033752,58.75613744,4.42877899,19.21088067,47.06847669,15.40713907,NA,6,NA,0.923453252,77.33664462,0.006537046,48.02412754,100,1558269902,1.226657602,-356,6763601.76,252435829.4,129.4599259,581.2934118,-252435829.4,6.689435625
Singapore,SGP,5535002,1.186376937,719,NA,2.94217E+11,53160,4.49493E+11,81210,NA,82.74390244,1.24,3.09,NA,99.7,2.7,NA,95,NA,107.7809982,NA,NA,164.714,606.8936853,NA,8.208109049,NA,3.07999E+11,2.976799316,3.07195501,0.032613514,24.28802291,178.3846085,151.0867904,25.35319302,17.99710989,3,207.778871,3.046712659,145.7181198,52.21071159,210.6094363,100,NA,NA,40958,NA,69774553125,NA,55645.60686,-24551342898,-0.522618167
Sint Maarten (Dutch part),SXM,38825,2.980223174,34,NA,1194947389,30780,1621729461,41770,NA,76.954,1.73,25.755,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,NA,NA,NA,NA,1417888715,0.10581315,4.007785182,NA,6.96750003,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.54001323,100,NA,NA,1027,107089385.5,27770949.72,NA,36519.99266,-27664804.47,0.330027165
Slovak Republic,SVK,5423801,0.095033879,49030,12.7,96323693602,17760,1.59033E+11,29320,8.5,76.56341463,1.4,24.186,NA,97,6.2,NA,95,93.85343933,91.89572906,1.004520059,0.1,19217.5,154.9875926,3003.66422,5.670137972,NA,88900883131,5.167181606,-0.216504526,2.195880171,30.57187221,91.60047429,88.58755769,24.62708506,40.62730637,8,NA,1.109501869,123.0642809,11.15859175,166.4584139,100,NA,NA,2637,239986534.1,1520387926,NA,16390.88217,-102094545.7,-0.325219777
Slovenia,SVN,2063531,0.075190689,20675,13.9,45948070001,22270,63252911987,30650,9.6,80.77560976,1.57,4.679,NA,NA,2.6,NA,94,98.24542236,109.65522,1.009690046,0.1,12480,48.05742032,3174.872585,6.367580618,NA,43107506024,2.210081607,1.005043485,2.096596213,28.02676657,77.14867826,69.14717844,19.16367796,40.71666582,2,13.99985886,0.930119532,113.1226386,7.007682535,143.2325961,100,NA,NA,7934,200987733.1,1730147099,NA,20890.16643,-1404352738,-0.525552286
Solomon Islands,SLB,612660,2.52650759,28900,NA,1286327346,2100,1477198592,2410,NA,69.583,4.356,64.55,29.3,86.2,22.8,16.2,75,87.40351105,NA,NA,NA,25266.2,NA,NA,0.496360134,NA,1307909888,1.676146156,3.35777296,33.22256248,15.55203493,40.36052049,47.827893,15.94520707,30.91200258,7,NA,NA,69.32262593,2.799395181,66.21251267,100,207462428.9,1.092331121,-1603,55643035.76,32222728.56,310.1720347,2134.805418,-27508876.56,-0.574469286
Somalia,SOM,13763906,3.359150333,637660,NA,6893507256,500,20939567520,1520,NA,54.857,6.978,127.933,NA,NA,132.6,NA,46,NA,NA,NA,NA,63637.5,2.117934247,NA,0.046948882,NA,6984947145,9.946799979,6.899269666,NA,NA,14.86001323,57.08353679,NA,NA,9,NA,NA,42.40075455,NA,NA,100,2770590307,4.63E-04,-17178,NA,303000000,91.58447163,507.4829155,NA,NA
South Africa,ZAF,55876504,2.074016859,1219090,NA,3.65988E+11,6550,7.42544E+11,13290,NA,63.95,2.359,78.367,NA,NA,37.8,5.7,86,96.14660645,110.1689301,0.955309987,18.7,172320.9,18.58037462,NA,7.607188524,NA,3.4671E+11,1.321862237,5.545528123,2.23397839,23.73230797,27.71363841,29.01303773,18.63320666,29.64725819,7,212.2654711,1.006928622,157.4892588,7.426564327,53.54708898,100,1.27741E+11,7.996419432,644996,980097838.5,1521139945,25.41801863,6204.929901,3993788901,4.540642277
South Sudan,SSD,11194299,-0.169451605,646883,NA,11669229567,1040,11250917095,1010,NA,55.566,4.937,104.178,NA,NA,98.8,NA,52,20.55500031,11.23095036,0.685389996,2.2,71570,18.23373976,NA,0.175928837,NA,11997800760,-10.79336463,17.68933214,10.35502745,33.0945354,36.65134928,28.8999999,5.750756372,NA,13,NA,8.908535203,25.89711066,NA,NA,NA,NA,NA,-160109,145950000,150000,149.6145454,1071.777765,-1180000,52.76633042
Spain,ESP,46444832,-0.077588862,505924,22.3,1.3219E+12,28460,1.62147E+12,34910,5.8,82.83170732,1.33,7.628,NA,99.9,3.3,NA,96,96.10134888,124.85466,1.004529953,0.3,185511.8,37.96118601,2571.340962,5.538855216,NA,1.19616E+12,3.838518877,0.545318262,2.734089484,20.07361153,33.61086067,30.57234448,18.98743335,27.77017175,7,65.81011597,1.27023204,109.9855567,6.887358494,49.66948438,100,NA,NA,-871,368030578.6,23037070821,NA,25754.36103,33299356666,-0.50036571
Sri Lanka,LKA,21336697,0.456782306,65610,NA,82284468109,3860,2.50314E+11,11730,NA,74.927,2.091,16.9,NA,NA,8.8,NA,99,95.02100372,94.79299927,NA,0.1,21288.2,6.576622539,NA,0.901775003,NA,85140955389,4.205955476,3.014380798,8.216938879,29.53541787,19.89338382,27.02458699,34.27579881,12.57700432,8,24.43490316,2.417011166,112.0119107,0.891656274,34.6272835,100,43925393891,4.271842153,-98598,896280000.2,679655644.2,20.85655572,3990.353117,-626668319.8,3.768367831
St. Kitts and Nevis,KNA,47790,0.00209251,260,NA,878445238.3,18380,1182284611,24740,NA,70.763,1.643,41.586,NA,100,18.2,NA,95,118.1415863,113.4822617,0.992730021,NA,110,78.46083789,NA,4.971751412,NA,957222222.2,0.694135528,-0.156232299,0.848906945,22.73824724,NA,NA,NA,34.30489456,7,NA,NA,152.7704541,23.28034099,36.77307023,100,NA,NA,-191,19657404.39,128276604.8,NA,20029.75983,-133211670.1,-2.30187563
St. Lucia,LCA,175623,0.467430587,620,0.3,1578909926,8990,2301852709,13110,5.5,73.138,1.473,39.705,NA,99.1,17.8,NA,97,NA,91.54831696,0.977559984,NA,207.7,42.1361478,NA,2.853840328,NA,1807640741,0.102115735,3.236452802,2.152590956,10.86335166,NA,NA,NA,19.70954569,5,NA,NA,106.9000074,4.558693322,41.49054528,100,529980934.5,4.231043191,0,18735427.64,152240176.1,78.34964799,10292.73353,-128965525.4,-0.983600953
St. Martin (French part),MAF,35020,-0.685821046,50,NA,NA,NA,NA,NA,NA,79.309,2.558,20.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,-662,NA,NA,NA,NA,NA,NA
St. Vincent and the Grenadines,VCT,106482,-0.403010939,390,NA,760856342.4,7150,1290910378,12120,NA,74.407,2.099,57.221,NA,98.7,16.5,NA,99,109.5267029,118.1076965,0.997340024,NA,285.4,99.56399437,NA,2.314945249,NA,786555555.6,2.783161194,-0.73197383,6.260300419,14.94890992,NA,NA,NA,24.42953336,7,NA,NA,106.4696381,0,48.31190846,100,343937309.5,4.374524102,-1295,10052444.72,123879208,126.7819913,7386.746638,-115778056.5,-1.73361195
Sudan,SDN,38171178,3.107511671,1878000,NA,47421486583,1240,1.64989E+11,4320,NA,64.659,4.898,93.526,NA,NA,64.7,NA,87,63.04476929,47.60297012,0.934849977,0.1,192099.3,1.920429132,NA,0.504548222,NA,51726758677,1.910176891,14.02255744,31.55645133,16.07121074,6.422910929,11.95536193,12.80813353,10.31439658,11,NA,2.712940233,73.19267695,0.69180467,24.50955816,100,21657734194,1.034595377,49080,89390261.94,1728373403,25.40398445,1355.126099,-1728373403,16.90957061
Suriname,SUR,575475,1.011747632,163820,NA,4971060065,8640,9597224750,16680,NA,70.8,2.494,60.131,NA,90,20.5,NA,76,83.61398315,73.01000977,1.134039998,1.5,152516.7,8.323165524,NA,4.733654807,NA,5126237646,-3.413042681,4.854590609,10.40815724,27.25991566,NA,NA,NA,NA,13,NA,NA,130.4067075,10.81283131,71.78754194,100,2562547848,6.663756135,-976,32221024.19,183665852.7,27.76836447,8907.837258,-266741456,6.893903592
Eswatini,SWZ,1133936,0.714313722,17360,NA,4192814770,3700,9578400966,8450,NA,55.019,3.117,77.114,NA,NA,63.5,NA,89,93.19016266,79.5160675,0.935450017,29.9,4915,3.804537145,NA,0.895905942,NA,4063245671,2.227480675,5.545064733,9.354311403,35.7327075,43.10686579,40.98284578,12.51467246,27.54490875,12,NA,1.749614035,82.98528312,0.232638307,79.34543616,100,449611575.9,2.464671433,-10464,19330858.64,31498094.37,81.68891124,3583.31129,-32719601.21,4.951244937
Sweden,SWE,9799186,1.057454686,528449.29,16.2,5.72699E+11,58440,4.85243E+11,49520,8.2,82.20487805,1.85,4.735,NA,NA,2.9,NA,98,99.31504059,137.4629669,1.09107995,NA,279800,212.6752764,5102.785578,3.992178534,NA,5.05104E+11,4.489281588,2.121180245,1.449558382,22.15807176,43.76676752,39.95704699,24.42868979,32.40356111,3,NA,1.066502053,128.3214584,18.12533588,55.12154339,100,NA,NA,77987,2275887117,10254310464,NA,51545.48361,4645839623,-0.046784745
Switzerland,CHE,8282396,1.138337152,41290.7,14.7,7.19021E+11,86810,5.46014E+11,65920,7.8,82.89756098,1.54,2.852,NA,NA,4.3,NA,94,96.63136292,103.9133911,0.979340017,0.2,12519.1,406.8886038,2960.073389,4.719745349,NA,6.94118E+11,1.644627687,-1.265056875,0.626446261,24.20112582,63.82895575,53.30952646,25.07486328,17.74615141,6,218.8854131,0.651341083,135.7591625,27.05064976,78.19230365,NA,NA,NA,71488,26031033077,1.18752E+11,NA,83806.4476,7382490805,-1.143908672
Syrian Arab Republic,SYR,19205178,-4.415743721,185180,NA,17395487477,910,NA,NA,NA,65.124,3.049,40.146,NA,NA,43.9,NA,53,NA,NA,NA,0.1,5220.8,1.179203052,NA,1.315306737,NA,16466863097,-4.179791613,38.21454775,33.13046221,15.49133603,14.29110466,36.79510316,NA,NA,7,NA,NA,74.52298021,NA,52.42042731,100,4419183536,0.003602494,-827474,NA,NA,256.205395,857.4178848,NA,NA
Tajikistan,TJK,8524063,2.346816042,141380,31.3,10654541763,1250,30466253365,3570,7.4,69.306,3.459,52.011,NA,98,37.6,NA,97,92.20542145,NA,NA,0.1,4218,0.793818642,NA,0.575406353,NA,8271431485,6.019303318,6.86625095,21.59057472,30.2202135,9.80269843,40.13511764,44.68945306,NA,4,NA,1.281971819,99.58867028,NA,52.31258952,100,5144129015,3.205689679,-18984,165138264.3,454012320,50.70938589,970.3625472,-454012320,5.714559496
Tanzania,TZA,52542823,3.344574305,947300,NA,49153890681,960,1.15192E+11,2260,NA,64.651,5.088,129.069,NA,NA,54.7,13.7,95,64.65573883,27.23949051,1.041129947,5.3,480900,9.146203668,NA,0.204897632,NA,47413919817,6.160628774,7.591364023,26.74588573,24.48735011,17.10491155,23.65276932,32.75869228,11.38312084,11,NA,1.091369867,75.49194539,0.81565034,32.95023921,100,18159958606,1.004853486,201562,103818117.8,1506024896,49.19244558,929.7998047,-1506024896,5.58816953
Thailand,THA,70294397,0.475496517,513120,7.2,3.92055E+11,5580,1.05646E+12,15030,7.5,77.717,1.469,45.947,NA,NA,10.3,NA,99,NA,130.9334717,0.953830004,1.4,200610,7.002569289,NA,3.824676098,NA,4.01296E+11,3.134047249,0.722113573,8.872723648,36.17917733,67.63669027,57.20297188,22.35564064,20.54471087,7,86.91783694,1.426580302,146.4441042,23.90663416,103.904039,100,1.32367E+11,5.193373073,32595,3992380815,8927579182,0.83463264,5708.794091,-3936528344,-0.900424963
Timor-Leste,TLS,1205813,1.755472386,14870,NA,2633293107,2180,6578267615,5460,NA,67.137,3.903,38.367,NA,NA,61.6,NA,70,101.3899994,73.05799866,1.002303958,0.1,9281,1.361096502,NA,0.36257695,NA,1595205100,2.797266112,7.202726588,17.77274283,18.31407134,3.04089424,56.85063319,36.83525711,92.73267995,5,NA,2.318050677,114.1693613,NA,37.36196681,NA,116733681.1,0.029269053,-5529,158813100,42995500,176.0554856,1322.929094,-30328700,0.646148614
Togo,TGO,7473229,2.504545741,56790,55.1,6426661268,860,14735304716,1970,5,59.396,4.594,82.951,NA,NA,75.8,NA,75,NA,NA,NA,2.3,12240.7,25.80924231,NA,0.244285302,NA,5755461035,5.468031293,2.202711273,18.92195283,22.79404267,25.97607505,42.22401337,25.18503056,14.84467143,6,NA,1.674422895,64.96798974,0.320389165,58.15346467,100,1097348790,1.030132886,-1985,89431613.89,257860036.5,26.69127377,770.1438074,90793247.47,2.585003908
Tonga,TON,106122,-0.473800875,750,NA,447039000.6,4210,586539552.1,5530,7.7,70.607,3.562,20.51,NA,NA,12.4,NA,99,NA,97.39259338,1.01038003,NA,89.5,NA,NA,1.035600535,NA,437003078.6,1.171888256,5.283368583,16.8686027,15.49235067,16.96031829,64.49108682,24.6010466,22.24910162,4,NA,NA,69.25331223,NA,51.94471415,100,184338819.8,1.457275265,-2495,14221511.37,6349155.28,644.5412028,4117.931047,-6568362.563,-1.05399832
Trinidad and Tobago,TTO,1460177,0.653834662,5130,NA,27998259926,19170,40173406191,27510,NA,74.503,1.682,39.97,NA,100,19.3,NA,89,NA,NA,NA,1.3,2302.9,80.38691549,NA,14.59453203,NA,27026080987,-0.777459952,-8.733614249,1.658294071,35.68858738,NA,NA,25.13536296,35.61664748,7,NA,0.83320624,145.4189458,0.13794002,73.93228789,100,NA,NA,-583,289580106.3,176829744.9,NA,18508.7705,-48490372.1,4.661215981
Tunisia,TUN,11557779,1.120928168,163610,15.2,47041033757,4070,1.19776E+11,10360,7.8,75.692,2.251,9.628,NA,NA,17.6,NA,98,97.26052094,86.76495361,NA,0.1,6950.8,12.63161361,NA,2.736460007,NA,45779494042,0.967703108,4.213840076,9.205923017,24.89673137,38.39983876,48.8486919,21.73899971,NA,11,19.26465153,2.139591629,126.2861685,7.785323238,74.91126916,100,27487161066,4.12893327,-25230,26457656.28,970521888.7,42.90357128,3960.924849,-970521888.7,4.437371273
Turkiye,TUR,78218479,1.33411577,785350,14.3,9.44501E+11,12080,1.99974E+12,25570,NA,76.646,2.194,27.353,NA,99,13.3,NA,97,98.8300705,107.243187,0.980279982,NA,216303,16.09223255,1657.925859,4.518290365,NA,8.64314E+11,6.084486904,7.84491693,6.868375345,27.83434929,24.53127734,26.55726626,28.19920217,30.38437765,11,21.85107859,1.812848293,92.45799717,3.436024122,42.18386836,100,3.9958E+11,6.530742888,341261,850000000,19263000000,27.37537264,11049.99511,-14167000000,7.670853648
Turkmenistan,TKM,5766431,1.807271728,488100,NA,39142691113,6790,74409400940,12900,NA,68.782,2.93,26.933,NA,NA,42.5,3.2,99,NA,NA,NA,NA,41270,1.274354489,NA,11.06015142,NA,35799714286,6.49999991,-5.153297788,9.306538759,54.29333035,35.67546429,45.62446628,NA,NA,NA,NA,NA,135.9939734,NA,47.4864125,100,7003746694,4.373046377,-9612,NA,3042968000,3.979931566,6208.296655,NA,NA
Turks and Caicos Islands,TCA,36538,4.343341672,950,NA,855562217.3,23420,820209533,22450,NA,76.912,1.67,19.653,NA,NA,6.9,NA,NA,71.49028015,81.63017273,NA,NA,105.2,NA,NA,NA,NA,942070000,11.31483413,0.623168365,0.495079983,9.666266838,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.0519282,100,NA,NA,1663,85674000,-69888000,NA,25783.2941,69863000,NA
Tuvalu,TUV,10877,-0.20205738,30,NA,61921107.83,5690,63572213.68,5840,NA,64.06,3.217,33.965,NA,NA,25.9,NA,94,107.8048782,88.835289,1.069010019,NA,10,NA,NA,0.707915786,NA,36811936.08,10.41666667,3.20315928,15.91632653,7.015510204,NA,NA,NA,NA,NA,NA,NA,60.67849591,NA,100.5108776,NA,NA,NA,-159,1116780.155,300000,4564.677901,3384.383201,NA,NA
Uganda,UGA,37477356,3.091309156,241550,NA,31764483698,850,80598864466,2150,NA,61.086,5.306,123.351,34.7,NA,55.8,8.9,79,53.31999969,NA,NA,6,25441.6,50.84330256,NA,0.125731922,NA,32387183730,5.18785986,5.187859865,23.47236969,27.10988488,12.87732531,24.81197302,23.85979445,11.57741099,14,NA,1.043148025,53.95330716,2.297024585,24.06816247,100,9570705818,0.298477889,-62377,278222282.5,737652140.2,43.71066182,864.1800593,-737369521.1,5.589686063
Ukraine,UKR,45167350,-0.23176829,603550,NA,1.19858E+11,2800,4.4924E+11,10490,10,71.1895122,1.506,28.585,NA,NA,9.4,NA,56,88.57595825,90.50289917,NA,NA,96570,9.993519353,NA,4.230219395,NA,91030967789,-9.772987213,38.88167976,12.05937611,21.72795774,52.59767951,55.20893679,15.93331603,35.75839408,5,6.283125555,3.251180763,142.0030379,8.038853598,83.09699637,100,1.18566E+11,31.33478398,-21937,627000000,-198000000,32.08844388,2124.662598,236000000,48.69986464
United Arab Emirates,ARE,8916899,0.911950036,98647.9,NA,4.12574E+11,46270,6.12871E+11,68730,NA,79.223,1.486,7.785,NA,99.9,7.6,NA,99,125.1652985,NA,NA,0.1,3173,145.5173335,NA,21.91450189,NA,3.70275E+11,6.786772877,-16.26700603,0.72367159,43.35424493,97.56318807,71.91304863,24.79853452,3.414653355,6,52.89956427,NA,201.219729,5.30115833,152.2904017,100,NA,NA,-14154,NA,8550901847,NA,41525.1389,NA,4.069966084
United Kingdom,GBR,65116219,0.792367506,243610,NA,2.89007E+12,44380,2.70692E+12,41570,7.5,80.95609756,1.8,14.857,NA,NA,4.5,NA,93,99.48760986,125.7025909,1.016409993,NA,31550,358.8126398,2764.516671,6.159376361,NA,2.92791E+12,2.220258322,0.660990521,0.631166672,18.09417512,27.84595067,29.35759902,17.86938461,33.06904273,4,NA,2.044058241,121.5048919,22.32275235,37.42780936,100,NA,NA,254218,10707262597,45333483122,NA,44964.39114,-1.0551E+11,0.368046842
United States,USA,320738994,0.736217309,9831510,NA,1.81241E+13,56510,1.86081E+13,58020,5.3,78.6902439,1.8435,21.899,NA,99.1,6.8,NA,92,NA,97.65254974,1.005079985,0.4,3100950,41.16826974,6803.996607,15.56001544,NA,1.8295E+13,2.945550455,0.928042795,1.028904091,18.49671277,12.41114863,15.2770653,21.41518957,18.99535879,6,137.0183852,3.481428215,102.3083933,21.38094108,20.86837406,100,NA,NA,1221849,60719000000,5.11434E+11,NA,57040.20821,-2.09363E+11,0.118627136
Uruguay,URY,3402818,0.328384513,176220,NA,57498586686,16900,71495545533,21010,5.6,77.483,2.023,57.871,NA,99.9,8.9,NA,96,100.7218628,108.0432968,NA,0.5,19200,15.75965246,NA,1.956378507,NA,57680327999,0.370741258,9.855420322,6.131441943,25.44175805,22.47785125,22.85038956,19.7053904,28.12362128,5,NA,1.820588136,151.7998906,14.74248776,29.77965035,100,NA,NA,-4156,87384745.17,2673041339,6.812001202,16950.75317,-774700169.7,8.666269871
Uzbekistan,UZB,31298900,1.744258375,448924,NA,85736607647,2740,2.12543E+11,6790,NA,70.475,2.491,24.898,NA,100,19.9,NA,99,96.14199829,92.27300262,0.987200022,NA,35494,1.563225694,NA,3.17449495,NA,86196264755,7.218773503,10.50069952,29.22071857,22.52046082,13.76629135,16.98421731,26.3433389,19.64547187,4,NA,NA,70.38355521,NA,24.25163093,100,13385564471,1.422705135,-20380,335516240,1041199291,14.40945209,2753.971058,-1036625230,8.751881967
Vanuatu,VUT,276438,2.383501228,12190,NA,765738788.4,2770,779720279.5,2820,NA,69.513,4.006,71.024,NA,NA,21,NA,76,NA,53.39009094,0.98793,NA,4423,NA,NA,0.485823223,NA,730870803,0.366522075,5.863819798,22.4211306,9.923798285,46.03361914,67.01357068,32.89980793,20.93477284,8,NA,NA,63.23949674,NA,55.55017362,100,256793136.3,0.936805074,-756,3331006.951,31021245.77,674.8710292,2643.886886,-29733139.6,2.483268757
"Venezuela, RB",VEN,30529716,1.108184995,912050,33.1,NA,NA,NA,NA,NA,73.006,2.34,90.609,NA,99.3,19.1,NA,92,94.96392822,89.09152222,1.018300056,0.5,466830,NA,NA,5.343217081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,0.941375969,95.29573416,NA,NA,100,1.67206E+11,NA,-77421,105000000,2956000000,1.198504439,NA,-370000000,121.7380853
Viet Nam,VNM,92191398,1.042270946,331230,NA,2.28398E+11,2480,6.75965E+11,7330,NA,73.876,1.951,35.761,75.7,NA,21.9,14.1,97,97.21399689,88.19799805,NA,0.4,140618.6,2.922703188,NA,2.185814559,NA,2.39258E+11,6.987154306,-1.716511707,14.47472618,34.26654664,72.92285161,71.99137627,32.10891589,NA,9,24.54837429,2.361155697,130.5154869,36.36831241,136.9544802,100,81824874002,3.005116681,-4761,NA,11800000000,34.35667493,2595.234844,-10700000000,0.631200905
